Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
SCHB,Schwab U.S. Broad Market ETF,257.0072,21.99,"5,650.87","1,198.37",21.21,"6,849.24"
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,46.41678,40.65,"1,886.97",408.80,21.66,"2,295.77"
VXF,Vanguard Extended Market ETF,10.56242,147.15,"1,554.24",706.75,45.47,"2,260.99"
META,Meta Platforms Inc.,1.97667,204.98,405.18,"1,011.10",249.54,"1,416.28"
GOOGL,Alphabet,3.68861,92.78,342.23,904.52,264.3,"1,246.75"
AMZN,Amazon,3.68012,92.99,342.23,538.42,157.33,880.65
QQQ,Invesco QQQ Trust,0.7649,398.10,304.50,171.17,56.21,475.67
FDN,First Trust Dow Jones Internet Index Fund,0.87369,181.74,158.78,68.93,43.41,227.71
PYPL,PayPal Holdings Inc.,2.1477,81.38,174.78,-61.62,-35.26,113.16
CRM,Salesforce Inc.,0.35273,238.88,84.26,-9.38,-11.13,74.88
PNQI,Invesco NASDAQ Internet ETF,1.45852,23.57,34.38,40.47,117.71,74.85
ADBE,Adobe Inc.,0.24057,350.25,84.26,-13.71,-16.27,70.55
TXRH,Texas Roadhouse Inc.,0.25422,165.72,42.13,3.59,8.52,45.72
