Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
META,Meta Platforms Inc.,10.4596,257.26,"2,690.84","4,803.46",178.51,"7,494.30"
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,91.97801,38.40,"3,532","1,017.23",28.8,"4,549.23"
AMZN,Amazon,17.85767,170.23,"3,039.89","1,233.45",40.58,"4,273.34"
PYPL,PayPal Holdings Inc.,65.184,64.03,"4,174.01",-739.47,-17.72,"3,434.54"
SCHB,Schwab U.S. Broad Market ETF,112.56411,16.52,"1,860.09","1,139.74",61.27,"2,999.83"
GOOGL,Alphabet,5.22426,136.41,712.62,"1,053.18",147.79,"1,765.80"
TXRH,Texas Roadhouse Inc.,7.99242,112.79,901.50,536.02,59.46,"1,437.52"
NVDA,NVIDIA,6.0726,10.20,61.95,"1,098.71",1773.54,"1,160.66"
MA,Mastercard Incorporated,1.89239,569.52,"1,077.75",-58.15,-5.4,"1,019.60"
DUOL,Duolingo Inc.,4.34784,194.14,844.08,-261.21,-30.95,582.87
TSLA,Tesla Inc.,1.14849,221.93,254.88,239.44,93.94,494.32
TTCFQ,Tattooed Chef Inc.,63.09628,14.88,939.14,,,
